Anastassiou_GA	21310590
Andrasik_F	22644187,23835878,23835878,24867848
Ashida_S	21518923,20829577,21562055,22208416,22569765
Baker_DL	10818461,10818477,10982820,11256963,11355863,11562440,12069841,12069842,12069669,14687668,15007093,16290140,16263282,16321982,16782709,18036821,19075574,19345587,20005724,20041668,20349977,20566326,20705243,21047298,21051230,21393252,21465666,21967734,22177013,22539227,23000541,23360450,23816044,23793291,23360450,23793291,23793291,23816044
Bargagliotti_LA	12483813,12674916,19789005,22044047
Beck_JG	19187819,18986792,19679301,22036001,22137464,23602945,23773670,24491201,24515535,24507632,24325891,24491201,24515535,24491201,24491201,24507632,24325891,24325891,24507632,24325891,23602945
Beck_ML	8999000,11430485,15521425
Berman_JS	2200072,7962877,17115431,18729566,20552533,22757590,24635588,24635588
Bhagat_SP	17062503,18669125,19085399,20667604,20813158,24333175,24504791,24333175,24504791,24504791
Biggers_CJ	11430485,11482007
Blaha_CD	18435424,18521007,19964298,19862686,20370804,20566377,21354763,21212937,21638338,23717269,18435424,21638338,23436049,23912914,21638338,22978678,18435424,23912914,22978678,24291572,23436049,21212937,24291572,24307139,24307139,23717269,23912914,22978678,22978678,22978678,24307139,24307139
Bloomer_RJ	15199226,15467097,15903362,16286671,16287370,16700404,16700405,16775552,16888457,17365751,17503877,16949870,17915021,17996062,18053183,18272931,17925054,18614956,18727988,18991599,19004186,19144121,19175919,19246436,19266389,19374756,19440401,19490608,19656409,19691834,19910649,19915509,19604133,20046641,20046644,20048485,20209464,20424403,20435279,20459623,20533241,20633266,20663187,20815907,20869634,20885188,20975107,20976096,21041812,21040582,21092212,21310080,21414230,21414232,21981968,22030947,22080324,22074365,23946662,23946660,22257640,22433080,21921823,22778558,22966414,22525774,23013531,22971786,23882143,23882144,23882145,23882146,23368826,23935371,23302756,24113700,24090077,23424215,24090077,24090077,23424215,24139127,24139127,23860285,23860285,24139127,24139127,23302756
Bridges_SK	17162487,19815476
Bridson_PK	9708335,10856427,19345587
Brown_MP	9382959,9809548,10200816,10477719,10979977
Buddington_RK	18356743,20089192,20089840,19887854,21239667,23365359
Buder_EH	12002869,12825655,14700387,16102666,17509829,19399665,20370038,23550164,17509829,20370038,23550164
Bumgardner_JD	16872671,17356373,17350089,17295230,18421540,18431614,18443893,18161778,18257055,18306307,18698626,18985785,19072977,19441116,19105225,19309240,19904740,20091922,20185170,20524196,20352389,21278528,21691602,21311397,22042623,22337563,22588505,22696151,22997172,23683039,23359414,23128039,23564543,23564543,20524196,24561265,23128039,24504748,24561265,24323703
Burchfield_DC	15853034
Burkey_TJ	11457323,12911233,21780751
Campbell_CJ	10670580
Cannito_MP	8123241,9210119,10028039,15072525,15611398,16102666,18488884,22209057,23177751,24440058,24440058
Carr_GF	21994894,22595336
Chambliss_HO	21295433
Chen_H	11948805,12366869,14506117,15140649,15473905,16045491,16030144,16103179,16371421,16494709,16783639,17176581,16452988,17093131,16794562,17494564,17525252,17478730,17652402,17551542,18337407,18466321,19546402,20202080,21886604,21745336,21796102,22832735,22553361,22937166,23249388,23439407,23665904,24044743,23681157,24397210,24397210,24289793,24465966,24289793,24465966,24289793,24289793,24289793,24289793,24289793,24289793,24147868,24289793,24289793,24289793,24289793,24289793,24289793,24289793,24289793,24289793,24289793,24289793,23681157,24289793,24147868,24465966,24526113,24526113,24526113,24147868,24526113
Chung_K	10708983,11853259,14761201
Cohen_R	2675542,8151492,8706508,17302355
Cole_JA	17350089,17706764,18492598,19255421,19441116,19520084,19904740,20091922,21145320,21311397,22042623,22337563,22448239,22588505,23168047,24025197,24312526,24312526,24025197,24312526,24312526
Cook_MN	17629744,18535899,18599253,21533042,22359631,22832735
Coons_LB	2501073,2758940,2307068,2261820,2033618,1906886,1639570,8082985,8082986,8663513,10673347,18492598,19520084,21145320,23168047,24025197,24025197
Cox_RM	3669633,3678650,3352247,3169400,3183202,2470629,2739387,2601312,2307301,2359275,2065837,2065838,1956197,1768881,1397752,1421456,8445118,8405731,8126654,8194677,7987021,7789669,8972444,9360862,9562536,9921721,10466567,10976498,11324844,11599877,11808725,12467365,12467367,12918615,14620610,14655953,15692301,16295230,16377990,17496667,19692903,20166313,20890203,21522068,22555183
Cox_RT	12683538,17186836
Dapremont_JA	21417190,22416544
Dasgupta_D	17535140
Dass_C	2980330,3203147,3065264,2530186,2485178,2329143,2265678,2069984,24242174,1578365,8381675,8135347,8148404,7951986,7579627,8622556,8799262,9357302,9423281,10328759,10503775,11746901,11948845,12535692,15329851,15568184,18417761,18162166,19486879,24248903,2329143
Dwiggins_DP	16179755
Dwyer_WO	7779317,9635264,11285688,15600220,22617863
Eckstein_EC	15897824,17551771,18487359,19209342,20505243,23663823,23663823
Fagan_TK	1567089,10916865,22272790,22272791,23245497
Farhat_TR	18844370
Ferkin_MH	8918678,10627072,15386011,15811390,15580367,15961129,15979110,17032583,16876967,17112551,17449071,17653778,18809407,22884977,24197276,24197276,24197276
Floyd_RG	17029499,17905802,22272790,22272791
Franceschetti_DR	12030456,23673031
Freeman_DA	15518639,16731660,17214872,17272662,17663594,18078937,19060259,23735498,24246377,24246377
Fujiwara_T	19597595,20018369,22537225
Furxhi_O	20648126
Gartner_TK	3686020,3347927,2530646,1708172,1716370,1953789,1805450,1376310,8367834,8017785,7865680,7874438,7498451,8663513,9230107,9268349,9610758,11127863,15348024,11583324,11895777,12446460,12871512,15613029,15701721,15985541,16788103
Garzon_M	16454496
George_EO	7662840,9192447,9271889,9802058,10589779,12516961,19126641,21533142,23282414,23172863,23747569,23747569
Gir_S	3372547,3235465,8734060,8867897,9654392
Gire_E	23673031
Goodwin_SB	19126641,21812005,22395315
Gould_HJ	2744260,2302813,1783238,1783239,1581589,1601198,1474232,8471788,11012236,11797810,15243567,15895790,16977489
Graesser_AC	7938337,15012477,9628746,10875171,15354683,15354684,15354689,16532856,17695347,21635287,21585474,22082403,23288660,23288660
Griffin_ST	1750696,1416038,1294005
Haggard_WO	17350089,17295230,17549032,18421540,18431614,18443893,18161778,18257055,18306307,18985785,19072977,19441116,19105225,19309240,19904740,20091922,20185170,20524196,20195806,20352389,21278528,21691602,21553170,21311397,22042623,22337563,22588505,22585351,22696151,22997172,23683039,23359414,23529635,23604649,23128039,23564543,23564543,20524196,23128039,24504748
Hammond_KG	19175919,19374756,19656409,20706156,20815907,22362088,24090077,24090077,24090077,24149748
Hochstein_JI	20857320
Homayouni_R	10571240,10460257,10801432,11716507,12877983,15131130,15308538,15917516,16260146,16517601,16783639,16824496,17175356,17905926,18500935,18715197,21193550,21533142,21570130,22165960,22916119,23282414,23326475,23544116,24523945,24523945,24523945,24523945,24307139,24307139,24747564,24307139,24747564,24307139
Hsueh_Y	12096759,15022668,17302355
